,Area,Year,Area Harvested USDA (1000 HA),Production USDA (1000 MT),Yield USDA (MT/HA),Area Harvested FAO (1000 HA),Production FAO (1000 MT),Yield FAO (MT/HA),dewpoint_temperature_2m (°C),soil_temperature_level_1 (°C),soil_temperature_level_2 (°C),soil_temperature_level_3 (°C),soil_temperature_level_4 (°C),surface_net_solar_radiation_sum (J/m^2),temperature_2m (°C),temperature_2m_max (°C),temperature_2m_min (°C),total_evaporation_sum (mm),total_precipitation_sum (mm),u_component_of_wind_10m (m/s),v_component_of_wind_10m (m/s),volumetric_soil_water_layer_1 (vol fraction),volumetric_soil_water_layer_2 (vol fraction),volumetric_soil_water_layer_3 (vol fraction),volumetric_soil_water_layer_4 (vol fraction),precipitation (mm)
0,Kenya,1960,1050,1143,1.09,,,,15.92431951,26.95591097,26.91657926,26.90932145,26.94101254,529124298.3,24.23642817,31.35894911,18.24677503,-696.098739,816.8507916,-1.715802033,1.628880592,0.193337603,0.219460219,0.216491295,0.216762234,
1,Kenya,1961,1050,1270,1.21,750,940,1.2533,16.56134155,26.65551023,26.64822385,26.72753038,26.92384761,517689868.2,24.08982431,31.23686844,18.1968735,-784.8768922,1083.460766,-1.451529936,1.423116886,0.216277388,0.23701068,0.223270324,0.212822909,
2,Kenya,1962,1150,1397,1.21,900,1100,1.2222,15.53605081,26.9810307,26.89529879,26.76786983,26.5350416,532353635.5,24.24054854,31.63744494,17.84257162,-673.8482047,737.1307042,-1.548178182,1.426886622,0.184165643,0.215834813,0.228034186,0.227261676,
3,Kenya,1963,1133,1400,1.24,1000,1250,1.25,16.18449501,26.62348959,26.60494456,26.65071726,26.75305334,514010231.7,23.98597898,30.98993916,18.09904038,-717.5927379,997.2403012,-1.428209021,1.469091935,0.205768271,0.229387713,0.226265749,0.224308155,
4,Kenya,1964,1133,1270,1.12,1050,1230,1.1714,15.9051934,26.7267095,26.66696154,26.60576647,26.54352894,517920447.8,24.05540784,31.18465043,18.04884298,-685.2741413,753.9098797,-1.537679008,1.557983277,0.190427651,0.22077532,0.227764212,0.225981061,
5,Kenya,1965,1133,1270,1.12,1214,1300.53,1.0713,15.40860211,27.26401083,27.19854921,27.11617694,27.01844096,538309661.7,24.41150188,31.7263529,18.12457314,-631.2897555,736.2437,-1.633937831,1.553813264,0.185391819,0.211299289,0.20797268,0.216952578,
6,Kenya,1966,1214,1451,1.2,1010,1090,1.0792,15.76608214,27.8424781,27.7697387,27.6540995,27.48369295,545499869.3,24.92207264,32.22163586,18.65945713,-637.439837,711.2954313,-1.669709138,1.70169965,0.182216075,0.208754763,0.208860111,0.213410801,
7,Kenya,1967,1170,1633,1.4,1200,1440,1.2,15.65623142,26.94749243,26.95041797,27.06239505,27.33356258,536765629.9,24.18071416,31.39093177,18.0583498,-692.5235027,924.4994841,-1.546113103,1.425234143,0.200264871,0.226519506,0.222151875,0.212327036,
8,Kenya,1968,1214,1600,1.32,1380,1730,1.2536,15.74404519,26.43651271,26.38217639,26.332546,26.24888773,525483376.9,23.80678313,30.96582473,17.64757029,-733.1932495,874.9140895,-1.548970206,1.42173845,0.20133593,0.229424362,0.234624698,0.226425126,
9,Kenya,1969,1250,1400,1.12,1350,1720,1.2741,15.66259154,27.72593994,27.63642649,27.48098799,27.24138303,539333635.9,24.78580122,32.15074014,18.16286068,-566.8866896,546.3709588,-1.774153863,1.582327702,0.166742659,0.195819945,0.198845592,0.215828797,
